id,Idade,Genero,Faixa_idade,Estado_onde_mora,Regiao_onde_mora,uf_onde_mora,Nivel_de_Ensino,Área_de_Formação,Qual_sua_situação_atual_de_trabalho,Nivel,Faixa_salarial,2021,ano_pesquisa,Cor/raca/etnia,PCD,experiencia_profissional_prejudicada,aspectos_prejudicados,vive_no_brasil,Cargo_Atual,2022,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,2023
ptf4z63kho0g0ga2ptf4ocg2ansvb7bq,49.0,Feminino,45-49,,Sudeste,SP,Pós-graduação,,"Desempregado, buscando recolocação",,,2021.0,2023,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",,1.0,,2022.0,0.0,1.0,0.0,0.0,2023.0
ptpjgudcq42ypg7nqc6sciptpjgudxeo,26.0,Masculino,25-29,,Sudeste,SP,Pós-graduação,,Empregado (CLT),Pleno,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Analista de Dados/Data Analyst,2022.0,1.0,0.0,0.0,0.0,2023.0
pu6bqpsek1lj8zstepu6bqqly5f826bd,41.0,Masculino,40-44,,Centro-oeste,DF,Pós-graduação,,Servidor Público,Sênior,de R$ 12.001/mês a R$ 16.000/mês,2021.0,2023,Parda,Sim,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",,1.0,Outra Opção,2022.0,0.0,1.0,0.0,1.0,2023.0
pua1izwvqxna0ael73pua1iz34jbtmsj,22.0,Feminino,22-24,,Sudeste,SP,Estudante de Graduação,,Estagiário,Júnior,de R$ 1.001/mês a R$ 2.000/mês,2021.0,2023,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",,1.0,Analista de BI/BI Analyst,2022.0,0.0,0.0,1.0,0.0,2023.0
pubuksjytd9tdkqlue9pubuksjoxdj33,33.0,Masculino,30-34,,Nordeste,BA,Mestrado,,Empreendedor ou Empregado (CNPJ),,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
puk638mqt5p49gesi48puk638m67n764,29.0,Masculino,25-29,,Sul,SC,Graduação/Bacharelado,,Empregado (CLT),Pleno,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de BI/BI Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
punwmz01f945zf6punwmz70roev393xs,31.0,Feminino,30-34,,Sul,PR,Pós-graduação,,Empregado (CLT),Pleno,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2023,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Analista de Dados/Data Analyst,2022.0,1.0,0.0,0.0,0.0,2023.0
puojs84cniociv2w2p2puojshd6ozfci,42.0,Masculino,40-44,,Sudeste,RJ,Pós-graduação,,Empregado (CLT),,de R$ 30.001/mês a R$ 40.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
puvxs02vd7n1xusiued6wpuvxs02dh8q,35.0,Feminino,35-39,,Sudeste,SP,Pós-graduação,,Empregado (CLT),,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
puylnyjjd6mf9ru1puydukao5vhdxdk4,31.0,Masculino,30-34,,Sul,PR,Graduação/Bacharelado,,Empregado (CLT),,de R$ 25.001/mês a R$ 30.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
pv3ocp58xcqfgvwusscapv37bqtfrd21,64.0,Masculino,55+,,Sudeste,RJ,Pós-graduação,,Empreendedor ou Empregado (CNPJ),,de R$ 20.001/mês a R$ 25.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
pvofkv9y8ty5mrzo0yu4jpvofkv960p4,25.0,Masculino,25-29,,Sudeste,RJ,Mestrado,,Empregado (CLT),Júnior,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Cientista de Dados/Data Scientist,2022.0,1.0,0.0,0.0,0.0,2023.0
pvvfs3l1mfnppvvfpm16u23w9n3ll2gk,23.0,Masculino,22-24,,Centro-oeste,MS,Graduação/Bacharelado,,Empregado (CLT),,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
pw6q98w3whekonz85pw6q9i5rkys88sr,41.0,Masculino,40-44,,Sudeste,SP,Pós-graduação,,Empregado (CLT),Sênior,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Analytics Engineer,2022.0,1.0,0.0,0.0,0.0,2023.0
