id,Idade,Genero,Cor/raca/etnia,PCD,Faixa_idade,experiencia_profissional_prejudicada,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,Qual_sua_situação_atual_de_trabalho,vive_no_brasil,uf_onde_mora,Regiao_onde_mora,Nivel_de_Ensino,Cargo_Atual,Nivel,Faixa_salarial
rzo8us3v3ca09r01rzo8ub8qi98d9c2q,33,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,PR,Sul,Estudante de Graduação,,,de R$ 8.001/mês a R$ 12.000/mês
rzxgatoczu3gq1pu2dhli9rzxgatowek,36,Feminino,Parda,Não,35-39,,,,,,Empregado (CLT),1,DF,Centro-oeste,Pós-graduação,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
s01ifnm0uh92gaus01ihr1m0jsa1e1iw,33,Masculino,Parda,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Doutorado ou Phd,,,de R$ 12.001/mês a R$ 16.000/mês
s0377s1j5u5vevfph1wds0377zqy60c8,22,Feminino,Branca,Não,22-24,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,PR,Sul,Pós-graduação,Outra Opção,Júnior,de R$ 2.001/mês a R$ 3.000/mês
s0e5xeiweqrk7nhbcac1600s0e5xeqfn,27,Feminino,Prefiro não informar,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Pós-graduação,Analista de Negócios/Business Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês
s0x9h6bse1n9drbl6d9xgo6s0x9hhtjq,35,Feminino,Parda,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SC,Sul,Estudante de Graduação,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
s10mheu0je9sqjpn92s10mvpnt84qzvk,27,Feminino,Branca,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
s1e5wdffk1lj8cg0toa6i4s1e5wd48jf,36,Masculino,Branca,Não,35-39,,,,,,Empreendedor ou Empregado (CNPJ),1,RS,Sul,Pós-graduação,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
s1gemumgxbvf183bfs1g5cs0dmy6bg5d,27,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SC,Sul,Mestrado,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
s25meqbhmchxiwbudws25m0jnylpaw9p,44,Masculino,Branca,Sim,40-44,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Servidor Público,1,PR,Sul,Pós-graduação,Outra Opção,Júnior,de R$ 4.001/mês a R$ 6.000/mês
