id,Idade,Faixa idade,Genero,Cor/raca/etnia,PCD,experiencia_profissional_prejudicada,aspectos_prejudicados,vive_no_brasil,Estado onde mora,uf onde mora,Regiao onde mora,Nivel de Ensino,Área de Formação,Cargo Atual,Nivel,Faixa salarial
341srqtj5ev6za68341gmuxbonsdt2eu,39.0,35-39,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Velocidade de progressão de carreira, Quantidade de oportunidades de emprego/vagas recebidas",True,Minas Gerais (MG),MG,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
33r1du2k3whs0muhx433r1dufosr580z,46.0,45-49,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Não acredito que minha experiência profissional seja afetada devido a esses fatores",,False,,,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,de R$ 1.001/mês a R$ 2.000/mês
339i8oaarv6odmpv0j339i8oaarwzlox,39.0,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Rio de Janeiro (RJ),RJ,Sudeste,Não tenho graduação formal,,Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês
338ail9wytdbgrxbqg2529338ailgjb5,23.0,22-24,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Relação com outros membros da empresa, em momentos de trabalho",True,São Paulo (SP),SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outra Opção,Júnior,de R$ 2.001/mês a R$ 3.000/mês
335ghlzhd8ra6m9dpi335ghlny9230hg,37.0,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Paraíba (PB),PB,Nordeste,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estatístico,Júnior,de R$ 8.001/mês a R$ 12.000/mês
33585z09uzwdo8fgvvj33585zsf5ga4y,35.0,35-39,Masculino,Branca,Não,,,True,Rio de Janeiro (RJ),RJ,Sudeste,Doutorado ou Phd,Ciências Sociais,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
332qlm6qa4j1frk332ql97q3i3tk8l2r,45.0,45-49,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Ceará (CE),CE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
32z0x73c8sdjrskh7k32zi3c0vw52i1m,24.0,22-24,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 4.001/mês a R$ 6.000/mês
32wpgr1qv45y349tfagd32wpgr8c2hh0,41.0,40-44,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Pará (PA),PA,Norte,Pós-graduação,Outra opção,,,de R$ 3.001/mês a R$ 4.000/mês
32vbppmq027td1edqk32vbpkz06qvsul,29.0,25-29,Masculino,Branca,Não,,,True,Alagoas (AL),AL,Nordeste,Graduação/Bacharelado,Outras Engenharias,,,de R$ 12.001/mês a R$ 16.000/mês
32ql2lb9wp4clgthf32ql21lcb1jg8wx,31.0,30-34,Masculino,Amarela,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia","Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho",True,São Paulo (SP),SP,Sudeste,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,de R$ 12.001/mês a R$ 16.000/mês
32katt6b232or6ayeyogph7oor6aywsa,33.0,30-34,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 20.001/mês a R$ 25.000/mês
326isnrwfpo553cf30sogyiyknd2tjcf,39.0,35-39,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,São Paulo (SP),SP,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Outra Opção,Sênior,de R$ 12.001/mês a R$ 16.000/mês
31zgf3ppc2uxx5lwqa31z88pahtp3xd3,45.0,45-49,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 16.001/mês a R$ 20.000/mês
31mbsuupkn2e4uuo31mbsujjy99rgrt8,45.0,45-49,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados/Data Scientist,Sênior,Acima de R$ 40.001/mês
